,Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_nan,MasVnrArea_nan,BsmtFullBath_nan,BsmtHalfBath_nan,GarageYrBlt_nan
0,1,208500.0,0.2352941176470588,0.6666666666666666,0.4182081213682387,0.36634390392935035,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6875,0.6666666666666666,1.0,1.0,1.0,0.6666666666666665,0.5,0.0437956204379562,0.11290322580645161,0.0,0.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.1225,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,1.0,0.12508858965272857,0.8,0.0,0.06421232876712328,0.14009819967266776,1.0,1.0,1.0,1.0,0.3453845570505627,0.4135593220338983,0.0,0.5777122882260084,0.3333333333333333,0.0,0.5,0.5,0.375,0.3333333333333333,0.5,0.46153846153846156,1.0,0.0,0.0,0.75,0.6528662420382166,0.6666666666666666,0.4,0.3682795698924731,0.6666666666666666,1.0,1.0,0.0,0.08221024258760108,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.5,0.6666666666666666,0.6666666666666666,0.24107762810720734,0.0,0.0,0.0,0.0,0.0
1,2,181500.0,0.0,0.6666666666666666,0.49506374709743084,0.39131676594912324,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.5,0.3333333333333333,1.0,1.0,0.8,0.5555555555555556,0.875,0.23357664233576642,0.532258064516129,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,0.1732813607370659,0.8,0.0,0.12157534246575341,0.2065466448445172,1.0,1.0,1.0,1.0,0.4878435014643432,0.0,0.0,0.4702445078729567,0.0,0.5,0.5,0.0,0.375,0.3333333333333333,0.25,0.3076923076923077,1.0,0.25,0.5,0.75,0.7356687898089173,0.6666666666666666,0.4,0.30913978494623656,0.6666666666666666,1.0,1.0,0.2092696629213483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,0.25,0.6666666666666666,0.6666666666666666,0.2035828357172615,0.0,0.0,0.0,0.0,0.0
2,3,223500.0,0.2352941176470588,0.6666666666666666,0.4349089973815976,0.4223585003026551,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6875,0.6666666666666666,1.0,1.0,1.0,0.6666666666666665,0.5,0.058394160583941604,0.12903225806451613,0.0,0.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.10125,0.6666666666666666,1.0,1.0,0.75,0.75,0.5,1.0,0.08610914245216159,0.8,0.0,0.1857876712328767,0.15057283142389527,1.0,1.0,1.0,1.0,0.37184570540218687,0.41937046004842615,0.0,0.59309515868294,0.3333333333333333,0.0,0.5,0.5,0.375,0.3333333333333333,0.5,0.3076923076923077,1.0,0.25,0.5,0.75,0.659235668789809,0.6666666666666666,0.4,0.40860215053763443,0.6666666666666666,1.0,1.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.5,0.6666666666666666,0.6666666666666666,0.2619080683238439,0.0,0.0,0.0,0.0,0.0
3,4,140000.0,0.2941176470588235,0.6666666666666666,0.38858111692291897,0.3902947416306548,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.6666666666666665,0.5,0.6715328467153284,0.6129032258064515,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.25,0.6666666666666666,0.03827072997873848,0.8,0.0,0.23116438356164382,0.12373158756137481,1.0,0.75,1.0,1.0,0.38784671670926807,0.36610169491525424,0.0,0.5791574328965412,0.3333333333333333,0.0,0.25,0.0,0.375,0.3333333333333333,0.5,0.3846153846153847,1.0,0.25,0.75,0.25,0.6624203821656052,0.3333333333333333,0.6000000000000001,0.43145161290322587,0.6666666666666666,1.0,1.0,0.0,0.04716981132075472,0.26877470355731226,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.0,0.6666666666666666,0.0,0.14595195111790032,0.0,0.0,0.0,0.0,0.0
4,5,250000.0,0.2352941176470588,0.6666666666666666,0.5131229364071093,0.46876115019364417,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.7777777777777777,0.5,0.06569343065693431,0.16129032258064516,0.0,0.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.21875,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,1.0,0.11605244507441531,0.8,0.0,0.20976027397260272,0.18739770867430444,1.0,1.0,1.0,1.0,0.4521379500141114,0.5099273607748184,0.0,0.6665228823649914,0.3333333333333333,0.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5384615384615384,1.0,0.25,0.5,0.75,0.6624203821656052,0.6666666666666666,0.6000000000000001,0.5618279569892474,0.6666666666666666,1.0,1.0,0.1348314606741573,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999999999999,0.5,0.6666666666666666,0.6666666666666666,0.29870851270656856,0.0,0.0,0.0,0.0,0.0
5,6,143000.0,0.17647058823529413,0.6666666666666666,0.5175033420618727,0.4667608511414305,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.375,0.6666666666666666,1.0,1.0,0.2,0.4444444444444445,0.5,0.12408759124087591,0.25806451612903225,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.3333333333333333,1.0,0.0,0.75,0.75,0.25,1.0,0.12969525159461376,0.8,0.0,0.0273972602739726,0.13027823240589198,1.0,1.0,1.0,1.0,0.31871499671149417,0.27409200968523,0.0,0.4972202460326831,0.3333333333333333,0.0,0.25,0.5,0.125,0.3333333333333333,0.25,0.23076923076923078,1.0,0.0,0.0,0.75,0.6878980891719746,0.3333333333333333,0.4,0.32258064516129037,0.6666666666666666,1.0,1.0,0.028089887640449437,0.04043126684636119,0.0,0.6299212598425197,0.0,0.0,0.0,0.5,0.0,0.041176470588235294,0.8181818181818182,0.75,0.6666666666666666,0.6666666666666666,0.15011803916122762,0.0,0.0,0.0,0.0,0.0
6,7,307000.0,0.0,0.6666666666666666,0.4711754616031938,0.4009434910197882,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.8125,0.6666666666666666,1.0,1.0,0.8,0.7777777777777777,0.5,0.029197080291970802,0.06451612903225806,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0,0.11625,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,1.0,0.24255846917080087,0.8,0.0,0.13570205479452055,0.27594108019639935,1.0,1.0,1.0,1.0,0.5958832997167658,0.0,0.0,0.574386761705187,0.3333333333333333,0.0,0.5,0.0,0.375,0.3333333333333333,0.5,0.3846153846153847,1.0,0.25,0.75,0.75,0.6464968152866243,0.6666666666666666,0.4,0.4274193548387097,0.6666666666666666,1.0,1.0,0.17907303370786518,0.07681940700808626,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.25,0.6666666666666666,0.6666666666666666,0.37786418552978757,0.0,0.0,0.0,0.0,0.0
7,8,200000.0,0.2352941176470588,0.6666666666666666,0.4349089973815976,0.4066434667460965,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.5625,1.0,1.0,1.0,1.0,0.6666666666666665,0.625,0.27007299270072993,0.6129032258064515,0.0,0.0,0.42857142857142855,0.5714285714285714,1.0,0.15,0.3333333333333333,1.0,0.6666666666666666,0.75,0.75,0.5,0.6666666666666666,0.15219702338766833,0.2,0.020969855832241154,0.09246575342465753,0.1811783960720131,1.0,1.0,1.0,1.0,0.43975169513927304,0.47602905569007264,0.0,0.6486996026216678,0.3333333333333333,0.0,0.5,0.5,0.375,0.3333333333333333,0.25,0.3846153846153847,1.0,0.5,0.5,0.75,0.7515923566878981,0.6666666666666666,0.4,0.3252688172043011,0.6666666666666666,1.0,1.0,0.16502808988764045,0.2749326145552561,0.225296442687747,0.0,0.0,0.0,0.0,1.0,0.0,0.020588235294117647,0.9090909090909091,0.75,0.6666666666666666,0.6666666666666666,0.22927371198444663,1.0,0.0,0.0,0.0,0.0
8,9,129900.0,0.17647058823529413,0.3333333333333333,0.3284263672070855,0.30320468089956254,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.1875,0.0,1.0,1.0,0.2,0.6666666666666665,0.5,0.5693430656934306,0.9677419354838709,0.0,0.0,0.7142857142857142,0.2857142857142857,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.75,0.25,0.8333333333333333,0.0,0.8,0.0,0.40753424657534243,0.155810147299509,1.0,0.75,1.0,0.0,0.410432114368791,0.3641646489104116,0.0,0.5907103163127223,0.0,0.0,0.5,0.0,0.25,0.6666666666666666,0.25,0.46153846153846156,0.3333333333333333,0.5,0.5,0.25,0.8821656050955415,0.3333333333333333,0.4,0.31451612903225806,0.3333333333333333,1.0,1.0,0.06320224719101124,0.0,0.2025691699604743,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2727272727272727,0.5,0.6666666666666666,0.0,0.1319261213720317,0.0,0.0,0.0,0.0,0.0
9,10,118000.0,1.0,0.6666666666666666,0.32109662357415125,0.34090313546925666,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.0625,0.0,0.0,0.0,0.4,0.4444444444444445,0.625,0.510948905109489,0.9677419354838709,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.75,0.25,1.0,0.15077958894401133,0.8,0.0,0.059931506849315065,0.16219312602291328,1.0,1.0,1.0,1.0,0.4296689331365666,0.0,0.0,0.41416859178121257,0.3333333333333333,0.0,0.25,0.0,0.25,0.6666666666666666,0.25,0.23076923076923078,1.0,0.5,0.5,0.75,0.8566878980891721,0.6666666666666666,0.2,0.1377688172043011,1.0,1.0,1.0,0.0,0.005390835579514825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.11540063880016664,0.0,0.0,0.0,0.0,0.0
